Timestamp;Nama Lengkap;Jenis Kelamin;Lulus dari SPENSANA  ...;Lanjut ke Sekolah Menengah ...;Jurusan ...
8/25/2025 9:45:19;Siswa 1;Laki-laki;2025;SMK;Agribisnis Tanaman Pangan Dan Hortikultura (ATPH)
8/25/2025 9:51:54;Siswa 2;Laki-laki;2024-2025;SMA;IPS
8/25/2025 9:57:09;Siswa 3;Laki-laki;2025;SMK;Teknik Otomasi Industri
8/25/2025 10:05:45;Siswa 4;Laki-laki;2024-2025;SMK;Teknik kendaraan ringan
8/25/2025 10:08:43;Siswa 5;Perempuan;2025;SMK;USAHA LAYANAN PARIWISATA
8/25/2025 10:27:15;Siswa 6;Perempuan;2025;SMK;AKUNTANSI
8/25/2025 10:31:44;Siswa 7;Laki-laki;2025;SMK;Pengembangan Perangkat Lunak dan Gim
8/25/2025 10:34:20;Siswa 8;Perempuan;2025;SMK;desain permodelan dan informasi bangunan
8/25/2025 10:34:36;Siswa 9;Perempuan;2025;SMK;Desain Pemodelan dan Informasi Bangunan
8/25/2025 10:35:28;Siswa 10;Perempuan;2025;SMK;Teknik Audio Video
8/25/2025 10:37:59;Siswa 11;Perempuan;2025;SMA;ips
8/25/2025 10:40:50;Siswa 12;Laki-laki;2025;SMK;Teknik Komputer Jaringan
8/25/2025 10:56:48;Siswa 13;Perempuan;2025;SMA;IPA
8/25/2025 10:58:43;Siswa 14;Laki-laki;2025;SMK;Desain Komunikasi Visual
8/25/2025 10:58:58;Siswa 15;Perempuan;2025;SMK;Teknik Ketenagalistrikan/Teknik instalasi Tenaga Listrik (TITL)
8/25/2025 10:59:47;Siswa 16;Perempuan;2025;SMK;Teknik Komputer Jaringan
8/25/2025 11:02:09;Siswa 17;Laki-laki;2025;SMK;TSM (TEKNIK SEPEDA MOTOR)
8/25/2025 11:02:32;Siswa 18;Perempuan;2025;SMK;Teknik Kontruksi Dan Perumahan
8/25/2025 11:05:55;Siswa 19;Perempuan;2024-2025;SMK;TKP (tehnik konstruksi dan perumahan)
8/25/2025 11:28:24;Siswa 20;Perempuan;2025;SMK;Akuntansi keuangan dan lembaga
8/25/2025 11:50:25;Siswa 21;Laki-laki;2025;SMK;teknik otomotif
8/25/2025 12:16:05;Siswa 22;Perempuan;2025;SMK;tkj (teknik komputer dan jaringan)
8/25/2025 12:39:04;Siswa 23;Perempuan;2025;SMA;IPS
8/25/2025 12:42:29;Siswa 24;Laki-laki;2025;SMK;SMK: Teknik kendaraan Ringan
8/25/2025 12:45:41;Siswa 25;Perempuan;2025;SMK;teknik audio video
8/25/2025 12:51:50;Siswa 26;Laki-laki;2025;SMK;jurusan TSM
8/25/2025 12:54:50;Siswa 27;Laki-laki;2025;SMK;jurusan teknik permesinan
8/25/2025 12:56:59;Siswa 28;Laki-laki;2022;SMK;JURUSAN PEMESINAN (TPM)
8/25/2025 12:58:24;Siswa 29;Laki-laki;2025;SMA;IPS
8/25/2025 13:02:59;Siswa 30;Laki-laki;2025;SMK;Teknik Audio Vidio
8/25/2025 13:15:06;Siswa 31;Laki-laki;2025;SMK;Teknik Sepeda Motor
8/25/2025 13:15:29;Siswa 32;Laki-laki;2024;SMAN 1 JALAKSANA;IPA
8/25/2025 13:15:53;Siswa 33;Laki-laki;2024;SMK;teknik permesinan smk karya nasional
8/25/2025 13:16:43;Siswa 34;Laki-laki;2025;SMK;Teknik Sepeda Motor
8/25/2025 13:18:32;Siswa 35;Laki-laki;2024;SMK;Teknik Audio Video
