col1;col2
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30102461 - KEMENTERIAN PENDIDIKAN|| KEBUDAYAAN|| RISET|| DAN TEKNOLOGI | Sekretariat Jenderal | Biro Hukum 10
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100009 - 1
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100009 - 1
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100018 - Sains dan Teknologi | Jurusan Matematika dan Ilmu Pengetahuan Alam|| Fakultas Sains dan Teknologi | Prodi S1 Biologi|| Fakultas Sains 1
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100018 - Sains dan Teknologi | Jurusan Matematika dan Ilmu Pengetahuan Alam|| Fakultas Sains dan Teknologi | Prodi S1 Biologi|| Fakultas Sains 1
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100020 - 3
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100020 - 3
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100020 - 3
Instansi;3010 - Kementerian Pendidikan|| Kebudayaan|| Riset dan Teknologi
Lokasi Formasi;30100020 - 3
