Timestamp,Nama Lengkap,Jenis Kelamin,Lulus dari SMP,Lanjut ke Sekolah Menengah ...,Jurusan
8/25/2025 9:45:19,Student 1,Laki-laki,2025,SMK,Agribisnis Tanaman Pangan dan Hortikultura
8/25/2025 9:51:54,Student 2,Laki-laki,2025,SMA,Ilmu Pengetahuan Sosial
8/25/2025 9:57:09,Student 3,Laki-laki,2025,SMK,Teknik Otomasi Industri
8/25/2025 10:05:45,Student 4,Laki-laki,2025,SMK,Teknik Kendaraan Ringan
8/25/2025 10:08:43,Student 5,Perempuan,2025,SMK,Usaha Layanan Pariwisata
8/25/2025 10:27:15,Student 6,Perempuan,2025,SMK,Akuntansi
8/25/2025 10:31:44,Student 7,Laki-laki,2025,SMK,Pengembangan Perangkat Lunak dan Gim
8/25/2025 10:34:20,Student 8,Perempuan,2025,SMK,Desain Pemodelan dan Informasi Bangunan
8/25/2025 10:34:36,Student 9,Perempuan,2025,SMK,Desain Pemodelan dan Informasi Bangunan
8/25/2025 10:35:28,Student 10,Perempuan,2025,SMK,Teknik Audio Video
8/25/2025 10:37:59,Student 11,Perempuan,2025,SMA,Ilmu Pengetahuan Sosial
8/25/2025 10:40:50,Student 12,Laki-laki,2025,SMK,Teknik Komputer Jaringan
8/25/2025 10:56:48,Student 13,Perempuan,2025,SMA,Ilmu Pengetahuan Alam
8/25/2025 10:58:43,Student 14,Laki-laki,2025,SMK,Desain Komunikasi Visual
8/25/2025 10:58:58,Student 15,Perempuan,2025,SMK,Teknik Instalasi Tenaga Listrik
8/25/2025 10:59:47,Student 16,Perempuan,2025,SMK,Teknik Komputer Jaringan
8/25/2025 11:02:09,Student 17,Laki-laki,2025,SMK,Teknik Sepeda Motor
8/25/2025 11:02:32,Student 18,Perempuan,2025,SMK,Teknik Kontruksi Dan Perumahan
8/25/2025 11:05:55,Student 19,Perempuan,2025,SMK,Teknik Konstruksi dan Perumahan
8/25/2025 11:28:24,Student 20,Perempuan,2025,SMK,Akuntansi dan Keuangan Lembaga
8/25/2025 11:50:25,Student 21,Laki-laki,2025,SMK,Teknik Otomotif
