jp_code;position
JF0000334;Analis Hukum Ahli Pertama
JF0000905;Dosen Lektor
JF0000908;Dosen Asisten Ahli
JF0001001;Pengembang Teknologi Pembelajaran Ahli Pertama
JF0008014;Analis Sumber Daya Manusia Aparatur Ahli Pertama
JF0008017;Pranata Sumber Daya Manusia Aparatur Terampil
JF0008403;Pamong Budaya Ahli Pertama
JF0008406;Pamong Budaya Terampil
JF0008904;Perencana Ahli Pertama
JF0010504;Pranata Komputer Ahli Pertama
JF0010507;Pranata Komputer Terampil
JF0010704;Auditor Ahli Pertama
JF0010904;Widyaiswara Ahli Pertama
JF0012104;Perancang Peraturan Perundang-Undangan Ahli Pertama
JF0014704;Arsiparis Ahli Pertama
JF0014709;Arsiparis Terampil
JF0014903;Statistisi Ahli Pertama
JF0015504;Pustakawan Ahli Pertama
JF0015903;Pranata Hubungan Masyarakat Ahli Pertama
JF0015907;Pranata Hubungan Masyarakat Terampil
JF00187041101;Penerjemah Ahli Pertama - Penerjemah Bahasa Arab
JF00187041102;Penerjemah Ahli Pertama - Penerjemah Bahasa Inggris
JF00187041103;Penerjemah Ahli Pertama - Penerjemah Bahasa Mandarin
JF00187041108;Penerjemah Ahli Pertama - Penerjemah Bahasa Belanda
JF00187041111;Penerjemah Ahli Pertama - Penerjemah Bahasa Korea
JF0019701;Pranata Laboratorium Pendidikan Terampil
JF0019704;Pranata Laboratorium Pendidikan Ahli Pertama
JF0019813;Pengembang Kurikulum Ahli Pertama
JF0042001;Analis Kebijakan Ahli Pertama
JF0087014;Analis Anggaran Ahli Pertama
JF0087118;Penata Laksana Barang Terampil
JF0087148;Pranata Keuangan Apbn Terampil
JF0087223;Analis Pengembangan Kompetensi Asn Ahli Pertama
JF0087324;Asesor Sumber Daya Manusia Aparatur Ahli Pertama
JF0087332;Asisten Perpustakaan Terampil
JP4001060;Edukator
JP4001135;Penyuluh Bahasa
JP4001192;Polisi Khusus Cagar Budaya
JP4035001;Kurator
JP4088088;Pengelola Keprotokolan
JP4196772;Konservator
JP4201265;Registrar
JP4201356;Penata Pameran
JP4208765;Dokumentalis Hukum
JP4291170;Penata Kelola Hukum Dan Perundang-Undangan
JP4291267;Pengembang Buku Elektronik
JP4291285;Penyusun Materi Hukum Dan Perundang-Undangan
JP4291350;Penata Kelola Sistem Dan Teknologi Informasi
JP4291389;Desainer Buku
JP4291390;Ilustrator Buku
JP4291393;Editor Buku
